table_name,column_name,data_type,is_nullable,column_default,character_maximum_length
activity_logs,id,uuid,NO,gen_random_uuid(),null
activity_logs,user_id,uuid,NO,null,null
activity_logs,user,text,NO,null,null
activity_logs,action,text,NO,null,null
activity_logs,entity,text,NO,null,null
activity_logs,entityId,text,YES,null,null
activity_logs,timestamp,timestamp with time zone,YES,now(),null
notes,id,uuid,NO,gen_random_uuid(),null
notes,user_id,uuid,NO,null,null
notes,title,text,NO,null,null
notes,content,text,NO,null,null
notes,created_at,timestamp with time zone,YES,now(),null
notes,updated_at,timestamp with time zone,YES,now(),null
notes,color,text,YES,null,null
properties,id,uuid,NO,gen_random_uuid(),null
properties,user_id,uuid,NO,null,null
properties,title,text,NO,null,null
properties,description,text,NO,null,null
properties,price,numeric,NO,null,null
properties,type,text,NO,null,null
properties,status,text,NO,null,null
properties,location,text,NO,null,null
properties,created_at,timestamp with time zone,YES,now(),null
properties,updated_at,timestamp with time zone,YES,now(),null
roles,id,uuid,NO,gen_random_uuid(),null
roles,name,text,NO,null,null
roles,permissions,ARRAY,YES,'{}'::text[],null
users,id,uuid,NO,null,null
users,email,text,NO,null,null
users,role,text,NO,'user'::text,null